lat;long;prof;mag
-33.05;-71.06;69;5.2
-35.2;-72.22;41;6.8
-37.24;-73.86;40;5.2
-37.47;-73.75;49;5.2
-37.47;-73.88;42;5.5
-34.77;-71.66;28;5.2
-34.71;-71.69;44;4.8
-33.74;-71.92;44;4.2
-33.54;-72.25;39;5.1
-33.78;-72.01;36;4.5
-35.2;-71.79;42;4.6
-34.76;-71.83;41;5
-33.78;-72.2;16;4.8
-35.66;-73.06;35;4.8
-36.01;-71.55;102;4.1
-35.62;-73.21;10;5.4
-36.0;-72.14;30;4.3
-33.73;-72.07;19;4.9
-33.7;-72.02;10;4.2
-35.61;-71.56;91;5.2
-34.01;-72.33;36;5
-34.0;-72.24;25;4.6
-34.04;-72.16;30;4.6
-36.96;-72.76;36;4.1
-35.74;-71.7;83;4.7
-34.23;-72.45;40;4.7
-33.59;-70.33;113;4.3
-33.33;-70.64;90;4.2
-33.68;-71.1;68;4.8
-34.76;-71.81;43;5.2
-34.2;-71.83;44;4.8
-35.08;-71.14;107;4.7
-36.88;-72.99;35;5.1
-36.17;-73.09;14;4.6
-36.1;-74.14;23;6.3
-33.74;-71.02;66;4
-36.17;-72.16;63;4.6
-33.31;-70.47;93;4
-33.08;-71.93;33;4.6
-34.89;-71.8;40;4.8
-33.91;-72.51;36;5
-36.24;-73.97;23;6
-33.78;-70.47;105;4.9
-33.44;-70.34;117;5.2
-33.05;-70.31;112;5.1
-35.52;-73.35;37;5.3
-34.99;-71.83;42;5
-35.13;-70.79;113;4.6
-33.72;-72.3;39;4.5
-34.0;-71.2;71;4.5
-33.06;-72.09;22;4.1
-33.07;-72.07;20;4.1
-33.32;-71.32;51;4.2
-33.03;-72.25;22;4.4
-36.49;-71.73;110;4.9
-37.56;-73.74;20;6.1
-35.97;-72.67;50;5
-34.8;-71.67;52;4.4
-33.47;-70.85;76;4.5
-34.95;-71.63;47;4.2
-35.91;-73.56;14;5.3
-35.83;-73.74;20;4
-35.08;-71.92;51;4.9
-35.45;-72.99;36;4.7
-36.4;-72.73;39;4.9
-36.71;-72.56;67;4
-36.83;-73.77;26;4.3
-36.85;-74.14;30;4.4
-37.0;-73.61;16;4.6
-33.21;-71.39;56;4
-34.79;-71.84;41;4.3
-33.17;-71.82;31;4
-35.18;-71.14;96;4.6
-33.86;-70.44;118;5.3
-33.93;-71.48;52;4.2
-37.95;-74.38;28;4.8
-37.52;-74.03;36;4.2
-37.86;-73.65;35;4.5
-33.41;-70.3;101;4.9
-33.59;-71.96;25;4.3
-34.87;-72.58;12;5.1
-37.28;-73.89;42;5.1
-37.53;-73.86;50;5
-33.71;-71.56;45;4
-36.46;-72.58;69;4.3
-35.06;-71.0;95;6.4
-36.62;-73.73;15;5.9
-36.7;-73.52;21;4.6
-36.7;-73.59;10;4.9
-36.66;-73.61;27;5.1
-36.65;-73.57;10;4.7
-36.57;-73.58;20;4.5
-36.58;-73.55;28;4.9
-37.43;-73.9;42;4.9
-34.12;-71.3;56;4
-33.92;-70.62;89;4.1
-33.69;-71.52;50;4.2
-33.68;-70.53;97;4.1
-37.56;-73.61;37;4.3
-37.31;-73.44;60;4.9
-37.34;-73.66;45;4.4
-37.52;-74.08;36;4.8
-37.52;-74.01;39;4.7
-37.53;-74.05;35;4.4
-37.55;-73.95;40;4.8
-37.47;-74.05;38;4.3
-37.59;-73.66;31;4.8
-37.44;-74.18;24;4.5
-37.59;-73.73;32;4
-37.59;-73.63;43;4
-37.55;-73.74;44;4.2
-33.58;-71.32;52;4.1
-36.16;-72.05;71;5.1
-37.07;-74.21;19;4.7
-33.04;-71.96;28;4.5
-33.03;-72.06;22;4.6
-33.02;-72.12;24;6
-33.09;-71.89;26;4.7
-33.05;-72.0;25;4.7
-33.06;-71.97;18;4.5
-33.07;-72.02;24;4.7
-33.05;-72.16;17;5.4
-33.09;-72.14;32;4.5
-33.09;-72.09;25;6.9
-33.16;-71.92;29;4.5
-33.06;-71.88;30;4.4
-33.11;-72.03;27;4.6
-33.18;-71.82;32;4.3
-33.29;-71.93;28;4.8
-33.31;-71.77;21;4.3
-33.18;-71.79;29;4
-33.17;-72.04;24;4.6
-33.16;-72.04;25;4.5
-33.16;-72.09;24;5.1
-33.16;-72.08;27;4.9
-33.1;-72.0;28;4.3
-33.12;-72.21;31;4.7
-33.31;-72.01;18;4.2
-33.29;-71.85;26;4.4
-33.3;-71.99;27;4.5
-33.16;-71.63;23;4
-33.31;-71.9;28;4.8
-33.29;-71.88;29;4.1
-33.28;-71.89;27;4.7
-33.1;-72.06;18;4.1
-33.3;-71.73;21;4.1
-33.26;-72.11;23;5.5
-33.32;-71.96;24;4.7
-33.26;-71.91;29;4.5
-33.24;-72.02;21;4.3
-33.31;-71.91;26;4.7
-33.28;-71.97;28;4.3
-33.26;-72.05;23;5.1
-33.17;-71.66;26;5.8
-33.24;-71.9;30;4
-33.33;-71.93;28;4
-33.25;-71.93;24;4.3
-33.23;-72.06;24;4.3
-33.3;-71.98;22;5
-33.36;-71.94;25;4.3
-33.28;-71.96;24;4.2
-33.37;-71.99;24;4.4
-33.23;-72.07;20;4.3
-33.23;-71.98;26;4.7
-33.24;-71.97;26;4
-33.25;-72.05;24;4.2
-33.23;-72.11;20;4.1
-37.74;-73.9;15;4
-33.13;-71.62;29;4
-36.84;-73.85;18;4.7
-37.34;-71.8;87;5.8
-33.08;-71.76;30;4.6
-34.75;-71.77;41;4.8
-37.33;-72.15;127;4.1
-35.57;-73.94;15;5.1
-34.82;-71.77;47;4.5
-33.77;-72.15;30;5.1
-35.2;-70.63;20;4.1
-35.3;-73.38;22;5.1
-33.9;-71.28;52;4
-33.11;-71.79;26;4.4
-33.2;-70.61;99;5.5
-35.12;-71.86;48;4.8
-33.14;-70.34;98;4.7
-37.47;-73.35;29;5
-37.21;-74.32;27;4.8
-35.72;-71.64;88;4.2
-37.22;-74.26;26;4.9
-37.93;-73.95;43;4.7
-33.78;-71.5;52;4.9
-35.18;-71.83;45;4.6
-37.44;-74.14;32;4.7
-33.02;-72.0;31;4.4
-34.68;-70.79;99;4.4
-33.2;-70.45;99;4
-33.54;-70.01;116;4.4
-37.49;-74.62;35;4.7
-37.43;-74.35;22;4.3
-36.05;-73.06;51;5
-36.07;-73.29;32;4.2
-35.98;-73.46;19;4.7
-37.49;-74.26;22;5.1
-37.58;-73.93;21;4.8
-37.54;-73.96;26;5.1
-34.79;-71.7;51;4.4
-37.45;-74.22;32;5.1
-33.08;-72.09;32;4
-34.52;-72.24;28;4.6
-37.72;-73.03;45;4.5
-34.38;-70.52;99;4.3
-33.51;-70.13;120;4.2
-34.47;-72.54;39;4
-34.06;-70.48;106;4.5
-33.26;-70.11;110;5.1
-34.29;-72.26;35;5
-34.96;-71.65;49;4.2
-34.2;-72.23;31;4.3
-37.75;-72.74;40;4.3
-36.8;-73.6;28;4.3
-37.55;-73;25;4.4
-36.47;-73.24;11;4
-33.72;-71.29;55;4
-34.76;-71.7;46;4.5
-37.53;-73.83;26;4.1
-34.59;-71.7;41;4.1
-35.63;-71.49;87;4
-34.38;-70.59;127;5
-34.73;-71.83;43;4.6
-35.64;-73.1;33;4.5
-33.7;-72.06;36;4.3
-33.93;-72.47;36;5.2
-33.69;-71.5;40;5.3
-33.31;-70.36;96;4.2
-34.98;-71.13;101;4.6
-33.32;-70.23;111;4.1
-33.87;-70.36;116;4.6
-35.0;-71.81;49;4.1
-33.55;-70.3;113;4.3
-35.62;-72.97;28;5
-37.24;-72.78;56;4.3
-33.14;-71.67;54;3.8
-33.67;-72.5;16;5.3
-34.34;-70.58;108;4.4
-36.19;-72.7;67;4.4
-33.77;-72.62;10;4.8
-33.42;-71.95;37;3.8
-35.78;-71.85;85;5.2
-34.47;-71.96;28;4
-33.3;-70.34;105;4
-34.8;-71.81;42;4.2
-33.09;-71.89;28;4.3
-33.13;-70.56;97;4.5
-34.28;-72.51;13;6.6
-34.2;-72.19;18;4.6
-34.31;-72.42;21;5.4
-34.17;-72.12;21;5.4
-34.25;-72.33;12;4.3
-34.36;-72.07;21;3.9
-36.09;-73.99;20;5
-33.88;-72.09;24;3.7
-33.9;-72.11;38;3.2
-35.47;-73.18;31;6.6
-34.22;-71.88;42;3.9
-34.06;-72.28;33;4.9
-33.07;-70.22;114;4.5
-36.19;-73.29;42;5.6
-33.39;-71.32;55;4.1
-33.88;-70.52;114;5.1
-37.96;-73.7;28;5
-34.05;-71.23;56;4.6
-33.76;-70.12;15;3
-33.55;-70.75;89;4.8
-33.5;-70.01;118;5.2
-33.07;-71.22;60;3.3
-36.66;-73.13;29;4.7
-33.34;-70.2;120;4
-34.17;-72.23;32;4.9
-34.79;-71.71;46;4.3
-33.69;-71.14;47;3.5
-33.45;-71.78;35;4.4
-33.2;-70.07;10;4.7
-33.37;-71.34;56;3.8
-33.7;-70.82;92;4.4
-34.04;-72.24;32;4.1
-33.01;-70.19;126;4.3
-34.91;-71.68;64;5.3
-34.63;-73.06;41;6
-33.68;-70.38;107;4.3
-35.61;-71.62;84;5
-34.37;-70.78;96;4.6
-34.69;-71.85;51;4.5
-33.35;-70.21;123;5.7
-33.54;-71.53;49;4.2
-33.24;-70.22;115;4.7
-33.89;-72.13;34;3.7
-34.8;-71.8;42;5
-34.13;-71.16;71;4.2
-33.81;-70.29;114;4.5
-37.95;-73.72;39;5.3
-34.02;-72.42;39;5.3
-34.0;-72.3;34;5
-34.01;-72.34;38;5
-34.02;-72.26;37;4.9
-33.99;-72.26;38;4.3
-33.24;-70.56;59;3.9
-33.99;-72.43;34;5.2
-33.9;-72.54;20;4.4
-33.29;-71.36;60;4.7
-33.9;-70.36;112;4.7
